"","gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"TSPAN6","TSPAN6",710.002047220046,-0.377702440034236,0.0985177284792949,-3.83649462316716,0.000124802927166584,0.000948440462838725
"TNMD","TNMD",0,NA,NA,NA,NA,NA
"DPM1","DPM1",521.203565298558,0.198632407065306,0.109352075746286,1.8183067159905,0.0690172668925555,0.187353503813903
"SCYL3","SCYL3",237.581363066208,0.0327082620279204,0.138275221209184,0.239722167440972,0.810545648814918,0.908480093008489
"C1orf112","C1orf112",58.0293954978295,-0.0880106697931976,0.250693872455723,-0.317881784371705,0.750574610450621,0.875071834512606
"FGR","FGR",0.319352433608443,-0.084649266638262,0.151990904220249,-0.394780869663174,0.693004614388344,NA
"CFH","CFH",5826.28323238548,0.41776480264129,0.0863162002425848,4.83268147146943,1.34706224844296e-06,1.56183931841751e-05
"FUCA2","FUCA2",1284.58390360269,-0.241362362977122,0.0871369944482648,-2.76881856471817,0.00562599554299298,0.0257574284463123
"GCLC","GCLC",610.963093572583,-0.0462532459178014,0.159378468278325,-0.305901807643189,0.759679409595222,0.88047535043107
"NFYA","NFYA",370.084905681499,-0.489665884022305,0.117299964387822,-4.18510143014345,2.85038795120542e-05,0.000253219360179134
"STPG1","STPG1",183.580382192667,-0.121673792081197,0.17016778974003,-0.707933654235034,0.478986459202236,0.686800875116979
"NIPAL3","NIPAL3",2819.5235792473,-0.0438674679059791,0.100147544702823,-0.437439739331124,0.661792469537526,0.821950598958339
"LAS1L","LAS1L",540.811067403381,-0.00736517783740638,0.104256892913547,-0.0713401399163955,0.943127049561619,0.972764638436748
"ENPP4","ENPP4",114.250868642437,0.196624579608987,0.197861497857476,1.02006076938438,0.307699640913209,0.528591896559834
"SEMA3F","SEMA3F",599.826433324105,-0.248591389025886,0.105424585922503,-2.35849978801467,0.018348970267752,0.0670654863286334
"CFTR","CFTR",5.77703355784564,-0.508031334564482,0.374127963212736,-1.37606426364349,0.168801738226976,0.358158325296795
"ANKIB1","ANKIB1",1783.18405840328,-0.22759276860236,0.0789622956845581,-2.88285690911414,0.00394086411267322,0.0190599259589309
"CYP51A1","CYP51A1",54.8184633470857,0.00783721416378541,0.266477191648605,0.0290714858355429,0.976807577189232,0.98772727857984
"KRIT1","KRIT1",786.866324797615,-0.0394782560330875,0.100896740107489,-0.391475001186963,0.69544616342951,0.843725718987389
"RAD52","RAD52",184.222917010828,-0.300144409170509,0.152768188851333,-1.9653540909345,0.0493732691051973,0.145867793309062
"MYH16","MYH16",1.43142256486643,-0.266053503344588,0.271659743461684,-1.07493227997206,0.282405048541149,NA
"BAD","BAD",178.357785264696,0.0820751489943604,0.14840162204551,0.552099050277739,0.580880492583154,0.76627107000464
"LAP3","LAP3",1255.89065172522,0.1790747718901,0.103508790803492,1.73454761729496,0.0828209646057062,0.212926583095327
"CD99","CD99",8300.67780375215,0.0851691409978823,0.0791498055963134,1.07670588978777,0.281611680275845,0.499442156582598
"HS3ST1","HS3ST1",0.530085714532893,-0.0345044241958105,0.1586451601071,-0.21737360108667,0.827917202624001,NA
"AOC1","AOC1",0.106449389088783,-0.0233967412495678,0.151907570875714,-0.132607853613448,0.894503520994931,NA
"WNT16","WNT16",6.91871223089628,-0.149273845966065,0.374332399229655,-0.35087701797527,0.725680613681219,0.862218476388003
"HECW1","HECW1",108.614796122618,0.0934810330411559,0.185617362280276,0.497300110605247,0.618977433774581,0.794143132960601
"MAD1L1","MAD1L1",350.456781285482,-0.158564354519073,0.128157620985933,-1.23884300083027,0.215403645743037,0.41957383146826
"LASP1","LASP1",7180.71655270627,0.387252914242429,0.0912068569404668,4.24493979699886,2.18652117926366e-05,0.000201110165505551
"SNX11","SNX11",250.93194582263,0.386022699350143,0.135116602516934,2.86653345753703,0.00414994290796756,0.0199080542438156
"TMEM176A","TMEM176A",541.242245297118,0.327369493728157,0.137855989982504,2.4455368163959,0.0144636680686614,0.0555913291241915
"M6PR","M6PR",1067.24352183749,-0.0749177145821148,0.0903493535977395,-0.829804540120591,0.406649303478844,0.623312377204567
"KLHL13","KLHL13",378.792494803612,-0.908663871241643,0.138970149020967,-6.55070182297759,5.72673031472556e-11,1.25408041456993e-09
"CYP26B1","CYP26B1",104.76951773878,-0.868661833433375,0.253894890014445,-3.05288203347841,0.0022665502014516,0.0119730943367114
"ICA1","ICA1",0.744658326100849,-0.00198979681120802,0.20237598704456,0.124805526600581,0.900677512011333,NA
"DBNDD1","DBNDD1",116.578876568425,-0.273509508593576,0.182152622451902,-1.45771048320528,0.144920361172688,0.321949705406937
"ALS2","ALS2",852.520120691277,0.165890749566796,0.0937349650560407,1.76712032955094,0.0772080785477204,0.202325232807452
"CASP10","CASP10",80.3254035872811,-0.376794806872608,0.207912759985966,-1.8094947089832,0.070374181408621,0.189728496453063
"CFLAR","CFLAR",2549.83292201193,1.15632865446142,0.117334699179172,9.85986078003395,6.21354852456725e-23,4.5857780481073e-21
"TFPI","TFPI",4478.43795489572,-0.193778759542593,0.144494376554369,-1.33167972456525,0.182965454602579,0.378192174997696
